form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,model,repo
-306.1105659389678,-308.69187820744827,-316.3961223176244,HPLT,HPLT/hplt_bert_base_ka
-510.6668378017021,-516.8221873331315,-518.783944529368,mBERT,google-bert/bert-base-multilingual-cased
-472.558335091782,-476.8598408735619,-479.2342103593886,RemBERT,google/rembert
-474.4096731731507,-479.291852859888,-483.2411201375298,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base
-543.1909996847204,-550.4603423821488,-553.6868598918866,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large
-137.99127804350627,-150.27785946430467,-158.1682221728606,mGPT-1.3B-Georgian,ai-forever/mGPT-1.3B-georgian
-297.60683023282115,-300.33329603037555,-311.0275005147866,GPT2-GEO,Kuduxaaa/gpt2-geo
