form_grammatical_erg,form_ungrammatical_nom,form_ungrammatical_dat,model,repo
-349.8091048507626,-342.8305370053555,-347.5367578713955,HPLT,HPLT/hplt_bert_base_ka
-562.3194075458083,-556.0029795720809,-561.9581011581475,mBERT,google-bert/bert-base-multilingual-cased
-506.55633558716727,-499.7599860027637,-504.2525767980268,RemBERT,google/rembert
-520.8632735489566,-510.9375245206725,-515.5260007029834,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base
-597.6681815950062,-586.8413955610321,-593.3840293520171,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large
-146.1118007662427,-153.13311385121176,-153.48716863026556,mGPT-1.3B-Georgian,ai-forever/mGPT-1.3B-georgian
-309.16563461297034,-302.30722943146407,-306.6085136621221,GPT2-GEO,Kuduxaaa/gpt2-geo
