form_grammatical_nom,form_ungrammatical_erg,form_ungrammatical_dat,model,repo
-344.9616852836465,-353.4086117122935,-348.25657123145686,HPLT,HPLT/hplt_bert_base_ka
-515.6546180342768,-521.7472679226356,-519.316769952802,mBERT,google-bert/bert-base-multilingual-cased
-466.12847819403504,-474.1731869424319,-472.09493441253,RemBERT,google/rembert
-508.1126801639829,-513.9485249730172,-510.978770908987,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base
-561.7637031529998,-570.6372109934489,-560.3028770052769,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large
-136.84143223223876,-153.43482430902455,-146.63171796440994,mGPT-1.3B-Georgian,ai-forever/mGPT-1.3B-georgian
-292.8120721413122,-301.25138141943654,-297.16610578851504,GPT2-GEO,Kuduxaaa/gpt2-geo
