form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,model,repo
-319.0546296126644,-332.2914944934716,-332.2725109980811,HPLT,HPLT/hplt_bert_base_ka
-557.0161222449046,-563.4324012866001,-566.4664948371105,mBERT,google-bert/bert-base-multilingual-cased
-494.7821644133802,-499.91823406726513,-501.2211026447006,RemBERT,google/rembert
-493.740841957566,-494.1387831148487,-499.2359008210186,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base
-567.3743744153528,-567.2816092927196,-578.09196373169,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large
-140.29252474814558,-151.1152040171414,-153.21222806738908,mGPT-1.3B-Georgian,ai-forever/mGPT-1.3B-georgian
-302.82351017782923,-307.21770453472453,-315.68738303686365,GPT2-GEO,Kuduxaaa/gpt2-geo
