form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,model,repo
-294.59029702137644,-289.1130259646689,-291.2837314537729,HPLT,HPLT/hplt_bert_base_ka
-506.1508746542932,-501.2210093238007,-508.5906785007487,mBERT,google-bert/bert-base-multilingual-cased
-458.97234833654,-455.9465938657648,-460.38703314172767,RemBERT,google/rembert
-449.00444273911575,-444.4854047739137,-456.5159947993467,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base
-513.7527437034669,-507.0255984637508,-519.3404689329126,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large
-139.4321526836675,-144.10819901523544,-149.96115844299854,mGPT-1.3B-Georgian,ai-forever/mGPT-1.3B-georgian
-297.87480418668804,-294.71378420520153,-305.032325902571,GPT2-GEO,Kuduxaaa/gpt2-geo
