form_grammatical_dat,form_ungrammatical_nom,form_ungrammatical_erg,model,repo
-377.3777958877069,-371.08142898306255,-376.8608109550742,HPLT,HPLT/hplt_bert_base_ka
-653.6639866923325,-648.5245561928339,-655.4369844959698,mBERT,google-bert/bert-base-multilingual-cased
-584.7373802825052,-581.7030958822609,-586.2402357216996,RemBERT,google/rembert
-592.0035693815403,-588.2925226832131,-594.2833555308878,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base
-671.3780728121012,-663.2186118934222,-673.2444195959091,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large
-156.51295947832563,-164.0133643288139,-172.30049950794455,mGPT-1.3B-Georgian,ai-forever/mGPT-1.3B-georgian
-325.26098421812065,-322.07515768246174,-333.01181796624405,GPT2-GEO,Kuduxaaa/gpt2-geo
