form_grammatical_nom,form_ungrammatical_dat,form_ungrammatical_erg,model,repo
-331.5351317493555,-340.95857406811484,-335.4002182204386,HPLT,HPLT/hplt_bert_base_ka
-579.8051040510557,-584.529386107863,-586.7831394444061,mBERT,google-bert/bert-base-multilingual-cased
-523.9940258747761,-529.9135437497685,-532.5600945657895,RemBERT,google/rembert
-500.9579626213755,-502.2132901155728,-513.4252360186659,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base
-565.4773799485001,-564.551759533058,-582.3935422903818,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large
-153.13720088918572,-163.252526534053,-166.23212492648446,mGPT-1.3B-Georgian,ai-forever/mGPT-1.3B-georgian
-315.16282471008014,-318.6564780593495,-328.03407992619367,GPT2-GEO,Kuduxaaa/gpt2-geo
